0.162 0.002 
0.162 0.004 
0.162 0.006 
0.162 0.008 
0.162 0.01 
0.162 0.012 
0.162 0.014 
0.162 0.016 
0.162 0.018 
0.162 0.02 
0.162 0.022 
0.162 0.024 
0.162 0.026 
0.162 0.028 
0.162 0.03 
0.162 0.032 
0.162 0.034 
0.162 0.036 
0.162 0.038 
0.162 0.04 
0.162 0.042 
0.162 0.044 
0.162 0.046 
0.162 0.048 
0.162 0.05 
0.162 0.052 
0.162 0.054 
0.162 0.056 
0.162 0.058 
0.162 0.06 
0.162 0.062 
0.162 0.064 
0.162 0.066 
0.162 0.068 
0.162 0.07 
0.162 0.072 
0.162 0.074 
0.162 0.076 
0.162 0.078 
0.162 0.08 
0.162 0.082 
0.162 0.084 
0.162 0.086 
0.162 0.088 
0.162 0.09 
0.162 0.092 
0.162 0.094 
0.164 0.002 
0.164 0.004 
0.164 0.004 
0.164 0.006 
0.164 0.006 
0.164 0.008 
0.164 0.008 
0.164 0.01 
0.164 0.01 
0.164 0.012 
0.164 0.012 
0.164 0.014 
0.164 0.014 
0.164 0.016 
0.164 0.016 
0.164 0.018 
0.164 0.018 
0.164 0.02 
0.164 0.02 
0.164 0.022 
0.164 0.022 
0.164 0.024 
0.164 0.024 
0.164 0.026 
0.164 0.026 
0.164 0.028 
0.164 0.028 
0.164 0.03 
0.164 0.03 
0.164 0.032 
0.164 0.032 
0.164 0.034 
0.164 0.034 
0.164 0.036 
0.164 0.036 
0.164 0.038 
0.164 0.038 
0.164 0.04 
0.164 0.04 
0.164 0.042 
0.164 0.042 
0.164 0.044 
0.164 0.044 
0.164 0.046 
0.164 0.046 
0.164 0.048 
0.164 0.048 
0.164 0.05 
0.164 0.05 
0.164 0.052 
0.164 0.052 
0.164 0.054 
0.164 0.054 
0.164 0.056 
0.164 0.056 
0.164 0.058 
0.164 0.058 
0.164 0.06 
0.164 0.06 
0.164 0.062 
0.164 0.062 
0.164 0.064 
0.164 0.064 
0.164 0.066 
0.164 0.066 
0.164 0.068 
0.164 0.068 
